Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-07-05,2021-07-05,Gold Monthly (Pay w/Routing&Acct Only),2021-07-05,Gym Membership
2021-05-10,2021-05-10,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-10,Gym Membership
2021-09-15,2021-09-15,Platinum Paid in Full,2021-09-15,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly (Pay w Routing/Acct Only),2021-03-19,Gym Membership
2021-01-21,2021-01-21,Platinum Monthly ($2.99 CC Fee),2021-01-21,Gym Membership
2021-08-22,2021-08-22,Platinum Monthly (Pay w Routing/Acct Only),2021-08-22,Gym Membership
2021-06-18,2021-06-18,Gold Monthly (Pay w/Routing&Acct Only),2021-06-18,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-03-06,2021-03-06,Diamond Paid in Full,2021-03-06,Gym Membership
2021-02-16,2021-02-16,Platinum Monthly (Pay w Routing/Acct Only),2021-02-16,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-04-01,2021-04-01,Platinum Monthly (Pay w Routing/Acct Only),2021-04-01,Gym Membership
2021-01-09,2021-01-09,Platinum Monthly ($2.99 CC Fee),2021-01-09,Gym Membership
2021-06-28,2021-06-28,Platinum Monthly (Pay w Routing/Acct Only),2021-06-28,Gym Membership
2021-08-23,2021-08-23,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-23,Gym Membership
2021-07-02,2021-07-02,Gold Monthly (Pay w/Routing&Acct Only),2021-07-02,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly (Pay w Routing/Acct Only),2021-03-19,Gym Membership
2021-06-27,2021-06-27,Platinum Monthly (No Commitment),2021-06-27,Gym Membership
2021-01-17,2021-01-17,Platinum Monthly ($2.99 Debit/CC Fee),2021-01-17,Gym Membership
2021-02-13,2021-02-13,Gold Monthly (No Commitment),2021-02-13,Gym Membership
2021-02-17,2021-02-17,Gold Monthly ($2.99 CC Fee),2021-02-17,Gym Membership
2021-07-15,2021-07-15,Gold Monthly (Pay w/Routing&Acct Only),2021-07-15,Gym Membership
2021-04-10,2021-04-10,Platinum Monthly (Pay w Routing/Acct Only),2021-04-10,Gym Membership
2021-10-12,2021-10-12,Gold Monthly ($2.99 Debit/CC Fee),2021-10-12,Gym Membership
2021-03-15,2021-03-15,Platinum Monthly (Pay w Routing/Acct Only),2021-03-15,Gym Membership
2021-09-22,2021-09-22,SILVER SNEAKERS ,2021-09-22,Gym Membership
2021-02-16,2021-02-16,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-08-02,2021-08-02,Gold Paid in Full,2021-08-02,Gym Membership
2021-04-29,2021-04-29,Gold Monthly (Pay w/Routing&Acct Only),2021-04-29,Gym Membership
2021-05-27,2021-05-27,Platinum Paid in Full,2021-05-27,Gym Membership
2021-03-16,2021-03-16,SILVER SNEAKERS ,2021-03-16,Gym Membership
2021-03-01,2021-03-01,Platinum Monthly (Pay w Routing/Acct Only),2021-03-01,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (Pay w/Routing&Acct Only),2021-04-14,Gym Membership
2021-02-21,2021-02-21,Diamond Paid in Full,2021-02-21,Gym Membership
2021-09-07,2021-09-07,Gold Monthly (Pay w/Routing&Acct Only),2021-09-07,Gym Membership
2021-08-02,2021-08-02,Gold Monthly (Pay w/Routing&Acct Only),2021-08-02,Gym Membership
2021-02-12,2021-02-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-12,Gym Membership
2021-07-12,2021-07-12,Gold Monthly,2021-07-12,Gym Membership
2021-07-17,2021-07-17,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-17,Gym Membership
2021-05-13,2021-05-13,Gold Paid in Full,2021-05-13,Gym Membership
2021-06-09,2021-06-09,Gold Monthly ($2.99 Debit/CC Fee),2021-06-09,Gym Membership
2021-03-15,2021-03-15,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-15,Gym Membership
2021-01-22,2021-01-22,Platinum Monthly ($2.99 CC Fee),2021-01-22,Gym Membership
2021-01-04,2021-01-04,Platinum Monthly ($2.99 CC Fee),2021-01-04,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2021-03-05,2021-03-05,Platinum Monthly (Pay w Routing/Acct Only),2021-03-05,Gym Membership
2021-01-27,2021-01-27,Platinum Monthly (Pay w Routing/Acct Only),2021-01-27,Gym Membership
2021-06-24,2021-06-24,Gold Monthly (Pay w/Routing&Acct Only),2021-06-24,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-07-24,2021-07-24,Gold Monthly ($2.99 Debit/CC Fee),2021-07-24,Gym Membership
2021-06-23,2021-06-23,Platinum Monthly (Pay w Routing/Acct Only),2021-06-23,Gym Membership
2021-03-17,2021-03-17,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-17,Gym Membership
2021-04-13,2021-04-13,SILVER SNEAKERS ,2021-04-13,Gym Membership
2021-05-26,2021-05-26,Platinum Paid in Full,2021-05-26,Gym Membership
2021-06-21,2021-06-21,Platinum Paid in Full,2021-06-21,Gym Membership
2021-01-11,2021-01-11,Platinum Monthly ($2.99 CC Fee),2021-01-11,Gym Membership
2021-03-25,2021-03-25,Platinum Monthly (Pay w Routing/Acct Only),2021-03-25,Gym Membership
2021-07-03,2021-07-03,Gold Monthly ($2.99 Debit/CC Fee),2021-07-03,Gym Membership
2021-03-02,2021-03-02,Gold Monthly ($2.99 CC Fee),2021-03-02,Gym Membership
2021-08-10,2021-08-10,Gold Monthly (Pay w/Routing&Acct Only),2021-08-10,Gym Membership
2021-05-09,2021-05-09,Gold Monthly (Pay w/Routing&Acct Only),2021-05-09,Gym Membership
2021-09-11,2021-09-11,Gold Monthly (Pay w/Routing&Acct Only),2021-09-11,Gym Membership
2021-06-03,2021-06-03,Platinum Monthly (Pay w Routing/Acct Only),2021-06-03,Gym Membership
2021-07-27,2021-07-27,Gold Monthly (Pay w/Routing&Acct Only),2021-07-27,Gym Membership
2021-05-07,2021-05-07,Gold Paid in Full,2021-05-07,Gym Membership
2021-06-01,2021-06-01,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-01,Gym Membership
2021-10-08,2021-10-08,Platinum Monthly (Pay w Routing/Acct Only),2021-10-08,Gym Membership
2021-01-31,2021-01-31,Gold Monthly ($2.99 Debit/CC Fee),2021-01-31,Gym Membership
2021-09-02,2021-09-02,Gold Monthly (Pay w/Routing&Acct Only),2021-09-02,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-08-11,2021-08-11,Gold Monthly (No Commitment),2021-08-11,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly (Pay w Routing/Acct Only),2021-07-19,Gym Membership
2021-08-25,2021-08-25,Gold Monthly (Pay w/Routing&Acct Only),2021-08-25,Gym Membership
2021-09-20,2021-09-20,Gold Monthly (Pay w/Routing&Acct Only),2021-09-20,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-03-22,2021-03-22,Diamond Paid in Full,2021-03-22,Gym Membership
2021-05-04,2021-05-04,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-04,Gym Membership
2021-09-20,2021-09-20,Gold Monthly (Pay w/Routing&Acct Only),2021-09-20,Gym Membership
2021-10-10,2021-10-10,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-10,Gym Membership
2021-01-07,2021-01-07,Gold Monthly ($2.99 Debit/CC Fee),2021-01-07,Gym Membership
2021-02-11,2021-02-11,Gold Monthly (Pay w/Routing&Acct Only),2021-02-11,Gym Membership
2021-09-19,2021-09-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-09-19,Gym Membership
2021-08-14,2021-08-14,Gold Paid in Full,2021-08-14,Gym Membership
2021-03-08,2021-03-08,Gold Monthly (Pay w/Routing&Acct Only),2021-03-08,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-07-19,2021-07-19,Gold Monthly (Pay w/Routing&Acct Only),2021-07-19,Gym Membership
2021-04-01,2021-04-01,Platinum Monthly (Pay w Routing/Acct Only),2021-04-01,Gym Membership
2021-08-09,2021-08-09,Platinum Monthly (Pay w Routing/Acct Only),2021-08-09,Gym Membership
2021-07-20,2021-07-20,Platinum Monthly (Pay w Routing/Acct Only),2021-07-20,Gym Membership
2021-05-07,2021-05-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-07,Gym Membership
2021-10-03,2021-10-03,Platinum Monthly (Pay w Routing/Acct Only),2021-10-03,Gym Membership
2021-07-02,2021-07-02,Gold Monthly (Pay w/Routing&Acct Only),2021-07-02,Gym Membership
2021-07-25,2021-07-25,Platinum Monthly (Pay w Routing/Acct Only),2021-07-25,Gym Membership
2021-08-02,2021-08-02,Gold Monthly (Pay w/Routing&Acct Only),2021-08-02,Gym Membership
2021-07-19,2021-07-19,Platinum Paid in Full,2021-07-19,Gym Membership
2021-09-15,2021-09-15,Platinum Monthly (Pay w Routing/Acct Only),2021-09-15,Gym Membership
2021-09-28,2021-09-28,Platinum Monthly ($2.99 Debit/CC Fee),2021-09-28,Gym Membership
2021-07-10,2021-07-10,Gold Monthly (Pay w/Routing&Acct Only),2021-07-10,Gym Membership
2021-06-17,2021-06-17,Gold Monthly (Pay w/Routing&Acct Only),2021-06-17,Gym Membership
2021-09-08,2021-09-08,Platinum Monthly (Pay w Routing/Acct Only),2021-09-08,Gym Membership
2021-09-27,2021-09-27,Gold Monthly (Pay w/Routing&Acct Only),2021-09-27,Gym Membership
2021-01-06,2021-01-06,Gold Monthly ($2.99 CC Fee),2021-01-06,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (No Commitment),2021-03-29,Gym Membership
2021-07-18,2021-07-18,Platinum Paid in Full,2021-07-18,Gym Membership
2021-04-25,2021-04-25,Diamond Monthly ($2.99 Debit/CC Fee),2021-04-25,Gym Membership
2021-05-31,2021-05-31,Gold Monthly (Pay w/Routing&Acct Only),2021-05-31,Gym Membership
2021-08-14,2021-08-14,Platinum Monthly (Pay w Routing/Acct Only),2021-08-14,Gym Membership
2021-02-01,2021-02-01,Platinum Paid in Full,2021-02-01,Gym Membership
2021-10-03,2021-10-03,Platinum Paid in Full,2021-10-03,Gym Membership
2021-06-16,2021-06-16,Gold Monthly ($2.99 Debit/CC Fee),2021-06-16,Gym Membership
2021-01-24,2021-01-24,Gold Monthly ($2.99 CC Fee),2021-01-24,Gym Membership
2021-09-18,2021-09-18,Platinum Monthly (Pay w Routing/Acct Only),2021-09-18,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-10-04,2021-10-04,Platinum Paid in Full,2021-10-04,Gym Membership
2021-08-09,2021-08-09,Gold Monthly (Pay w/Routing&Acct Only),2021-08-09,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-05-03,2021-05-03,Gold Monthly (Pay w/Routing&Acct Only),2021-05-03,Gym Membership
2021-02-15,2021-02-15,Gold Monthly (Pay w/Routing&Acct Only),2021-02-15,Gym Membership
2021-10-26,2021-10-26,Platinum Monthly (Pay w Routing/Acct Only),2021-10-26,Gym Membership
2021-08-09,2021-08-09,Gold Monthly (Pay w/Routing&Acct Only),2021-08-09,Gym Membership
2021-02-13,2021-02-13,Diamond Monthly ($2.99 Debit/CC Fee),2021-02-13,Gym Membership
2021-07-28,2021-07-28,Gold Monthly (Pay w/Routing&Acct Only),2021-07-28,Gym Membership
2021-01-31,2021-01-31,Platinum Monthly ($2.99 Debit/CC Fee),2021-01-31,Gym Membership
2021-09-15,2021-09-15,Gold Monthly (Pay w/Routing&Acct Only),2021-09-15,Gym Membership
2021-06-17,2021-06-17,Gold Monthly (Pay w/Routing&Acct Only),2021-06-17,Gym Membership
2021-05-28,2021-05-28,Gold Monthly (Pay w/Routing&Acct Only),2021-05-28,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-07-20,2021-07-20,Platinum Monthly (Pay w Routing/Acct Only),2021-07-20,Gym Membership
2021-05-15,2021-05-15,SILVER SNEAKERS ,2021-05-15,Gym Membership
2021-05-06,2021-05-06,Gold Monthly (Pay w/Routing&Acct Only),2021-05-06,Gym Membership
2021-09-01,2021-09-01,Diamond Monthly (Pay w/Routing&Acct Only),2021-09-01,Gym Membership
2021-05-25,2021-05-25,Diamond Monthly ($2.99 Debit/CC Fee),2021-05-25,Gym Membership
2021-07-11,2021-07-11,Gold Paid in Full,2021-07-11,Gym Membership
2021-04-15,2021-04-15,Gold Paid in Full,2021-04-15,Gym Membership
2017-04-13,2021-06-09,Platinum Monthly (Pay w Routing/Acct Only),2021-06-09,Gym Membership
2021-07-16,2021-07-16,Gold Monthly (No Commitment),2021-07-16,Gym Membership
2021-10-13,2021-10-13,Diamond Monthly (Pay w/Routing&Acct Only),2021-10-13,Gym Membership
2021-01-23,2021-01-23,Gold Monthly ($2.99 CC Fee),2021-01-23,Gym Membership
2021-02-14,2021-02-14,Platinum Monthly (Pay w Routing/Acct Only),2021-02-14,Gym Membership
2021-02-04,2021-02-04,Platinum Monthly (Pay w Routing/Acct Only),2021-02-04,Gym Membership
2021-06-21,2021-06-21,Gold Monthly (Pay w/Routing&Acct Only),2021-06-21,Gym Membership
2021-04-05,2021-04-05,Gold Paid in Full,2021-04-05,Gym Membership
2021-04-23,2021-04-23,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-23,Gym Membership
2021-03-28,2021-03-28,Platinum Monthly (Pay w Routing/Acct Only),2021-03-28,Gym Membership
2021-06-11,2021-06-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-11,Gym Membership
2021-03-19,2021-03-19,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-19,Gym Membership
2021-02-25,2021-02-25,Gold Monthly (Pay w/Routing&Acct Only),2021-02-25,Gym Membership
2021-05-10,2021-05-10,Gold Monthly (Pay w/Routing&Acct Only),2021-05-10,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (No Commitment),2021-04-19,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-15,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-06-21,2021-06-21,Platinum Monthly (Pay w Routing/Acct Only),2021-06-21,Gym Membership
2021-07-13,2021-07-13,Gold Monthly (Pay w/Routing&Acct Only),2021-07-13,Gym Membership
2021-03-31,2021-03-31,Gold Paid in Full,2021-03-31,Gym Membership
2021-07-07,2021-07-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-07,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-03-09,2021-03-09,Gold Monthly (Pay w/Routing&Acct Only),2021-03-09,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (Pay w Routing/Acct Only),2021-04-19,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-09-27,2021-09-27,Gold Monthly ($2.99 Debit/CC Fee),2021-09-27,Gym Membership
2021-04-08,2021-04-08,Platinum Monthly (No Commitment),2021-04-08,Gym Membership
2021-09-29,2021-10-01,Gold Monthly (Pay w/Routing&Acct Only),2021-09-29,Gym Membership
2021-03-16,2021-03-16,Gold Monthly (Pay w/Routing&Acct Only),2021-03-16,Gym Membership
2021-05-11,2021-05-11,Platinum Paid in Full,2021-05-11,Gym Membership
2021-06-08,2021-06-08,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-08,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-02-04,2021-02-04,Gold Paid in Full,2021-02-04,Gym Membership
2017-01-01,2021-09-14,Gold Monthly (Pay w/Routing&Acct Only),2021-09-14,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-08-14,2021-08-14,Platinum Monthly (Pay w Routing/Acct Only),2021-08-14,Gym Membership
2021-05-03,2021-05-03,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-03,Gym Membership
2021-03-31,2021-03-31,Gold Monthly (Pay w/Routing&Acct Only),2021-03-31,Gym Membership
2021-03-14,2021-03-14,Gold Monthly (Pay w/Routing&Acct Only),2021-03-14,Gym Membership
2021-05-10,2021-05-10,Gold Monthly (Pay w/Routing&Acct Only),2021-05-10,Gym Membership
2021-04-08,2021-04-08,Diamond Monthly (No Commitment) ,2021-04-08,Gym Membership
2021-05-30,2021-05-30,Platinum Paid in Full,2021-05-30,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-06-13,2021-06-13,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-13,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-03-04,2021-03-04,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-04,Gym Membership
2021-06-11,2021-06-11,Platinum Paid in Full,2021-06-11,Gym Membership
